code,ncode,seat,candidate,coalition,party,symbol,ballot_name,electorate,incumbent_2022,incumbent_party_2022,majority_2022
1_N.01,N.01,Buloh Kasap,Noraziah Mohd Razit,PH,PKR,,,28973,Datuk Zahari Sarip,BN-UMNO,"5,377"
1_N.01,N.01,Buloh Kasap,Datuk Zahari Sarip,BN,UMNO,,,28973,Datuk Zahari Sarip,BN-UMNO,"5,377"
1_N.02,N.02,Jementah,Ng Kor Sim,PH,DAP,,,41137,Ng Kor Sim,PH-DAP,714
1_N.02,N.02,Jementah,Saifullah Abdul Wahab,PN,PAS,,Saifullah Wahab,41137,Ng Kor Sim,PH-DAP,714
1_N.02,N.02,Jementah,See Ann Giap,BN,MCA,,,41137,Ng Kor Sim,PH-DAP,714
1_N.03,N.03,Pemanis,Jalex Lee En Xiang,PH,PKR,,Jalex Lee,30458,Anuar Abd Manap,BN-UMNO,"4,187"
1_N.03,N.03,Pemanis,Dr A Ariventharan,PN,MIPP,,Dr.Arvind,30458,Anuar Abd Manap,BN-UMNO,"4,187"
1_N.03,N.03,Pemanis,Anuar Abd Manap,BN,UMNO,,,30458,Anuar Abd Manap,BN-UMNO,"4,187"
1_N.04,N.04,Kemelah,Mohd Afif Abd Hamid,PH,AMANAH,,,35365,N Saraswati,BN-MIC,"1,611"
1_N.04,N.04,Kemelah,Uzzair Ismail,PN,BERSATU,,Uzzair bin Ismail,35365,N Saraswati,BN-MIC,"1,611"
1_N.04,N.04,Kemelah,K Raven Kumar,BN,MIC,,,35365,N Saraswati,BN-MIC,"1,611"
1_N.05,N.05,Tenang,Elia Nadira Sabudin,PH,AMANAH,,,22616,Haslinda Salleh,BN-UMNO,"1,736"
1_N.05,N.05,Tenang,Normala Sudirman,PN,PAS,,Cikgu Mala,22616,Haslinda Salleh,BN-UMNO,"1,736"
1_N.05,N.05,Tenang,Mohd Azahar Ibrahim,BN,UMNO,,Mohd Azahar (TOK AI),22616,Haslinda Salleh,BN-UMNO,"1,736"
1_N.05,N.05,Tenang,Siti Aisyah Zobir,OTHERS,BEBAS,Pen,,22616,Haslinda Salleh,BN-UMNO,"1,736"
1_N.06,N.06,Bekok,Tay Yok Jiuen,PH,DAP,,Cikgu Tay Yok Jiuen,27317,Tan Chong,BN-MCA,"3,569"
1_N.06,N.06,Bekok,Tan Chong,BN,MCA,,,27317,Tan Chong,BN-MCA,"3,569"
1_N.07,N.07,Bukit Kepong,C Subramani,PH,PKR,,Mani,37683,Datuk Dr Sahrudin Jamal,PN-Bersatu,710
1_N.07,N.07,Bukit Kepong,Datuk Dr Sahrudin Jamal,PN,BERSATU,,Dato' Dr Sahruddin bin Jamal,37683,Datuk Dr Sahrudin Jamal,PN-Bersatu,710
1_N.07,N.07,Bukit Kepong,Ahmad Syar’e Yusof,BN,UMNO,,Cikgu Syar'e,37683,Datuk Dr Sahrudin Jamal,PN-Bersatu,710
1_N.08,N.08,Bukit Pasir,Kapt (B) Muhd Najib Lep,PH,AMANAH,,Kapten (B) Hj Najib bin Lep,34142,Mohamad Fazli Mohamad Salleh,BN-UMNO,198
1_N.08,N.08,Bukit Pasir,Mohd Idzharruddin Mohd Nasirruddin,PN,BERSATU,,,34142,Mohamad Fazli Mohamad Salleh,BN-UMNO,198
1_N.08,N.08,Bukit Pasir,Mohamad Fazli Mohamad Salleh,BN,UMNO,,Fazli Salleh,34142,Mohamad Fazli Mohamad Salleh,BN-UMNO,198
1_N.09,N.09,Gambir,Mohd Nor Mohd Yusof,PH,PKR,,Hj Mohd Nor Mohd Yusof,30326,Sahrihan Jani,BN-UMNO,"3,146"
1_N.09,N.09,Gambir,Sahrihan Jani,BN,UMNO,,Sahrihan bin Jani,30326,Sahrihan Jani,BN-UMNO,"3,146"
1_N.09,N.09,Gambir,Suraya Sulaiman,PN,PEJUANG,,,30326,Sahrihan Jani,BN-UMNO,"3,146"
1_N.10,N.10,Tangkak,Ee Chin Li,PH,DAP,,,36955,Ee Chin Li,PH-DAP,372
1_N.10,N.10,Tangkak,Datuk Haw Chin Teck,BN,MCA,,,36955,Ee Chin Li,PH-DAP,372
1_N.11,N.11,Serom,Ahmad Nazari Abd Hamid,PH,AMANAH,,,40172,Khairin-Nisa Ismail@Md On,BN-UMNO,699
1_N.11,N.11,Serom,Mahfidz Omar,PN,BERSATU,,Mahfidz bin Omar,40172,Khairin-Nisa Ismail@Md On,BN-UMNO,699
1_N.11,N.11,Serom,Nadhirah Afiqah Abdull Rahim,BN,UMNO,,Iqa Rahim,40172,Khairin-Nisa Ismail@Md On,BN-UMNO,699
1_N.12,N.12,Bentayan,Ng Yak Howe,PH,DAP,,Ng Yah Howe,34205,Ng Yak Howe,PH-DAP,"7,476"
1_N.12,N.12,Bentayan,Chua Lee Huat,BN,MCA,,,34205,Ng Yak Howe,PH-DAP,"7,476"
1_N.13,N.13,Simpang Jeram,Nazri Abd Rahman,PH,AMANAH,,Ir. Ts. Haji Nazri,41975,Nazri Abd Rahman,PH-Amanah,"3,514"
1_N.13,N.13,Simpang Jeram,Ainie Haziqah Shafii,MUDA-PSM,MUDA,,,41975,Nazri Abd Rahman,PH-Amanah,"3,514"
1_N.13,N.13,Simpang Jeram,Arshed Yahya@Awang,PN,PAS,,Awang,41975,Nazri Abd Rahman,PH-Amanah,"3,514"
1_N.13,N.13,Simpang Jeram,Datuk Azman Ismail,BN,UMNO,,Azman bin Ismail,41975,Nazri Abd Rahman,PH-Amanah,"3,514"
1_N.14,N.14,Bukit Naning,Md Ysahrudin Kusni,PH,PKR,,Md Ysahrudin,23002,Datuk Mohd Fuad Tukirin,BN-UMNO,"1,535"
1_N.14,N.14,Bukit Naning,Iskandar Md Alias,BERSAMA,BERSAMA,,,23002,Datuk Mohd Fuad Tukirin,BN-UMNO,"1,535"
1_N.14,N.14,Bukit Naning,Mohd Radzi Amin,PN,BERSATU,,Mohd Radzi bin Amin,23002,Datuk Mohd Fuad Tukirin,BN-UMNO,"1,535"
